summary_nr,Event Date,Event Keywords,con_end,Construction End Use,build_stor,Building Stories,proj_cost,Project Cost,proj_type,Project Type,Degree of Injury,nature_of_inj,Nature of Injury,part_of_body,Part of Body,event_type,Event type,evn_factor,Environmental Factor,hum_factor,Human Factor,task_assigned,Task Assigned,hazsub,fat_cause
220980601,3/29/2017,"FALL,LADDER,RESIDENTIAL CONSTRUCTION,LEG,FRACTURE",A,Single family or duplex dwelling,1,1,A,"Under $50,000",B,Alteration or rehabilitation,Nonfatal,12,"Fracture, Broken Bones",16,Left Leg,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,14
220946198,1/17/2017,"CONCUSSION,FALL PROTECTION,LADDER,ROOF,RESIDENTIAL CONSTRUCTION,HEAD,FRACTURE,ELBOW,CONSTRUCTION,FALL",A,Single family or duplex dwelling,2,2,A,"Under $50,000",E,Other,Nonfatal,6,Head Trauma,13,Head,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,14
220920771,12/27/2016,"FALL,LOST BALANCE,HEAD,LADDER",B,Multi-family dwelling,2,2,A,"Under $50,000",C,Maintenance or repair,Fatal,12,"Fracture, Broken Bones",13,Head,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,14
220942254,3/16/2017,"FALL,LEG,LADDER,FOOT,FRACTURE",C,Commercial building,1,1,A,"Under $50,000",C,Maintenance or repair,Nonfatal,12,"Fracture, Broken Bones",16,Left Leg,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,14
220938195,3/7/2017,"RIB,SLIP,FRACTURE,LADDER,SCAFFOLD,FALL",C,Commercial building,8,8,A,"Under $50,000",B,Alteration or rehabilitation,Nonfatal,12,"Fracture, Broken Bones",5,Ribs,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220937841,1/16/2017,"WRIST,LADDER,ARM,FALL",C,Commercial building,1,1,A,"Under $50,000",B,Alteration or rehabilitation,Nonfatal,12,"Fracture, Broken Bones",24,Wrist,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,14
220935175,1/13/2017,"STRUCK BY,ROLL-OVER,MATERIAL HANDLING,CONSTRUCTION VEHICLE,CONSTRUCTION,FRACTURE,FACE,AERIAL LIFT",C,Commercial building,5,5,A,"Under $50,000",B,Alteration or rehabilitation,Nonfatal,12,"Fracture, Broken Bones",9,Face,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,28
220867667,7/14/2016,"STRUCK AGAINST,LADDER,HEAD,FALL",C,Commercial building,3,3,A,"Under $50,000",E,Other,Fatal,21,Serious Fall/Strike,13,Head,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220942833,3/16/2017,"FALL,SCAFFOLD,FRACTURE",H,Other building,0, ,A,"Under $50,000",A,New project or new addition,Nonfatal,6,Head Trauma,14,Hip,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,16
220897268,10/18/2016,"PAINTER,RESIDENTIAL CONSTRUCTION,LADDER",H,Other building,2,2,A,"Under $50,000",C,Maintenance or repair,Fatal,12,"Fracture, Broken Bones",4,Whole Body,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,14
220806103,10/24/2015,"STEEL ERECTION,FALL,ROOF,LOST BALANCE,ROOF OPENING",H,Other building,1,1,A,"Under $50,000",C,Maintenance or repair,Fatal,12,"Fracture, Broken Bones",13,Head,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,15
220928378,2/1/2017,"WALL,CONSTRUCTION,FALL PROTECTION,INSTALLING,RESIDENTIAL CONSTRUCTION,FRACTURE,FALL,CARPENTER,WRIST,BACK",A,Single family or duplex dwelling,4,4,B,"$50,000 to $250,000",A,New project or new addition,Nonfatal,21,Serious Fall/Strike,24,Wrist,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,18
220939458,3/7/2017,"STRUCK BY,LEG,ROOF,FRACTURE,FALL,FALL PROTECTION,ELBOW",C,Commercial building,2,2,B,"$50,000 to $250,000",C,Maintenance or repair,Nonfatal,12,"Fracture, Broken Bones",7,Elbow,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,15
220890859,9/26/2016,"FALL,ROOF",C,Commercial building,1,1,B,"$50,000 to $250,000",C,Maintenance or repair,Fatal,21,Serious Fall/Strike,4,Whole Body,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,15
220957757,5/18/2017,"UNGUARDED,FALL PROTECTION,FLOOR OPENING,FALL,UNGUARDED FL OPENING",A,Single family or duplex dwelling,1,1,C,"$250,000 to $500,000",A,New project or new addition,Fatal,21,Serious Fall/Strike,13,Head,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,20
220889836,9/22/2016,"FALL,SCAFFOLD,FALL PROTECTION",A,Single family or duplex dwelling,3,3,C,"$250,000 to $500,000",A,New project or new addition,Fatal,12,"Fracture, Broken Bones",19,Internal Injuries,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,16
220863518,3/24/2016,"SKULL,LADDER,FALL",A,Single family or duplex dwelling,2,2,C,"$250,000 to $500,000",A,New project or new addition,Fatal,12,"Fracture, Broken Bones",13,Head,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,14
220794846,9/2/2015,"FALL,HEAD,LADDER",A,Single family or duplex dwelling,1,1,C,"$250,000 to $500,000",A,New project or new addition,Fatal,12,"Fracture, Broken Bones",13,Head,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,14
220815211,7/6/2015,"BRACING,FALL,SCAFFOLD,GUARDRAIL",A,Single family or duplex dwelling,1,1,C,"$250,000 to $500,000",A,New project or new addition,Fatal,21,Serious Fall/Strike,13,Head,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,16
220810626,9/23/2015,"WALL,CONSTRUCTION,NECK,FALL",B,Multi-family dwelling,1,1,C,"$250,000 to $500,000",A,New project or new addition,Nonfatal,12,"Fracture, Broken Bones",20,Neck,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220947139,4/7/2017,"PAINTER,BRAIN,FALL PROTECTION,SCAFFOLD,HEAD,FALL,UNGUARDED",A,Single family or duplex dwelling,2,2,D,"$500,000 to $1,000,000",A,New project or new addition,Fatal,6,Head Trauma,13,Head,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,16
220964225,1/17/2017,"SLIP,STRUCK AGAINST,FALL PROTECTION,LEAD,FRACTURE,FALL,STORAGE TANK,SLIPPERY SURFACE",B,Multi-family dwelling,4,4,D,"$500,000 to $1,000,000",A,New project or new addition,Nonfatal,12,"Fracture, Broken Bones",16,Left Leg,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,14
220873442,8/2/2016,"STRUCK AGAINST,FALL PROTECTION,ROOF,FALL",C,Commercial building,2,2,D,"$500,000 to $1,000,000",B,Alteration or rehabilitation,Fatal,21,Serious Fall/Strike,4,Whole Body,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,15
220783799,7/16/2015,"CONCRETE SLAB,FALL PROTECTION,ROOF,FALL",C,Commercial building,1,1,D,"$500,000 to $1,000,000",A,New project or new addition,Fatal,21,Serious Fall/Strike,13,Head,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,15
220946990,4/11/2017,"FALL,ROOF",A,Single family or duplex dwelling,3,3,E,"$1,000,000 to $5,000,000",A,New project or new addition,Fatal,21,Serious Fall/Strike,31,Heart,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,15
220931331,2/10/2017,"SCAFFOLDING,SHOULDER,FALL PROTECTION,GUARD,RESIDENTIAL CONSTRUCTION,FALL",A,Single family or duplex dwelling,2,2,E,"$1,000,000 to $5,000,000",A,New project or new addition,Nonfatal,9,Dislocation,21,Shoulder,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220852271,11/17/2015,"REBAR,SCAFFOLD,MIDRAIL,CONSTRUCTION,FALL,FALL PROTECTION,INADEQUATE MAINT,GUARDRAIL,WALK PLATFORM",A,Single family or duplex dwelling,4,4,E,"$1,000,000 to $5,000,000",A,New project or new addition,Fatal,12,"Fracture, Broken Bones",13,Head,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,16
220803431,9/16/2015,"STRUCK AGAINST,FALLING OBJECT,SCAFFOLD,LOST BALANCE,FALL",B,Multi-family dwelling,2,2,E,"$1,000,000 to $5,000,000",C,Maintenance or repair,Fatal,21,Serious Fall/Strike,1,Abdomen,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220935027,2/28/2017,"PAINTER,PELVIS,RIB,AERIAL LIFT,FALL,ELEVATED WORK PLATFORM,ARM,WRIST,SHOULDER",H,Other building,1,1,E,"$1,000,000 to $5,000,000",A,New project or new addition,Fatal,21,Serious Fall/Strike,19,Internal Injuries,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,16
220937858,3/9/2017,"RIB,STAIR,UNGUARDED,BACKING UP,FRACTURE,FALL,VERTEBRA,SHOULDER",C,Commercial building,5,5,F,"$5,000,000 to $10,000,000",B,Alteration or rehabilitation,Nonfatal,12,"Fracture, Broken Bones",21,Shoulder,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,30
220940860,3/22/2017,"SPINE,SCAFFOLD,FALL,FALL PROTECTION,BACK,LOST BALANCE",C,Commercial building,0, ,G,"$10,000,000 to $20,000,000",A,New project or new addition,Fatal,7,Laceration,20,Neck,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,16
220788269,7/17/2015,"ELEVATED WORK PLATFORM,FALL,ELEVATOR SHAFT,SCAFFOLD",C,Commercial building,4,4,G,"$10,000,000 to $20,000,000",A,New project or new addition,Fatal,9,Dislocation,4,Whole Body,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,18
220817084,7/10/2015,"STRUCK BY,COLLAPSE,FALL,FALLING OBJECT",C,Commercial building,8,8,G,"$10,000,000 to $20,000,000",A,New project or new addition,Fatal,6,Head Trauma,20,Neck,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,18
220804025,10/17/2015,"STRUCK AGAINST,FLOOR OPENING,FALL",E,Refinery,0, ,G,"$10,000,000 to $20,000,000",A,New project or new addition,Fatal,12,"Fracture, Broken Bones",20,Neck,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,18
220827547,1/24/2016,"WELDER,FALL,LOST BALANCE,WELDING",F,Power plant,0, ,G,"$10,000,000 to $20,000,000",B,Alteration or rehabilitation,Fatal,3,"Bruising, Contusion",19,Internal Injuries,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,30
220882393,8/31/2016,"SHAFT,GUARDRAIL,FALLING OBJECT,FALL",H,Other building,3,3,G,"$10,000,000 to $20,000,000",B,Alteration or rehabilitation,Fatal,21,Serious Fall/Strike,13,Head,5,Fall (from elevation),18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220951396,4/24/2017,"STRUCK BY,ARM,LACERATION,CHAIN SAW,WRIST",0, ,0, ,0, ,0, ,Nonfatal,7,Laceration,24,Wrist,6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220952261,4/24/2017,"STRUCK BY,CRUSHED,FRACTURE,CAUGHT BETWEEN,HAND,POWERED INDUSTRIAL VEHICLE,MATERIAL HANDLING",0, ,0, ,0, ,0, ,Nonfatal,12,"Fracture, Broken Bones",12,Hand,6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220943765,3/27/2017,"THUMB,VENTILATION,AMPUTATED,FINGER,LOCKOUT,AMPUTATION,LACERATION,FAN BLADE",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220944920,3/27/2017,"CRUSHED,INDUSTRIAL TRUCK,MATERIAL HANDLING,FOOT",0, ,0, ,0, ,0, ,Nonfatal,21,Serious Fall/Strike,11,Feet,6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220960496,3/8/2017,"STRUCK BY,AMPUTATION,MACHINE GUARDING,AMPUTATED,CAUGHT BY,FINGER,GUARD,BLADE",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220923395,1/17/2017,"PINNED,CAUGHT BETWEEN,IMPALED,LEG,POWERED INDUSTRIAL VEHICLE,LACERATION",0, ,0, ,0, ,0, ,Nonfatal,7,Laceration,16,Left Leg,6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220910731,11/19/2016,"ELECTRICAL,POWER LINES,FALL",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,13,Head,6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220915748,10/10/2016,"STRUCK BY,MOTOR VEHICLE,HEAD",0, ,0, ,0, ,0, ,Nonfatal,6,Head Trauma,4,Whole Body,6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220887145,7/21/2016,"DRIVER,MOTOR VEHICLE,EMBANKMENT",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,19,Internal Injuries,6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,7
220851521,5/2/2016,"CRUSHING,MOTOR VEHICLE,RUN OVER,STRUCK BY",0, ,0, ,0, ,0, ,Fatal,6,Head Trauma,28,Lungs (Puncture),6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220812432,11/24/2015,"TREE TRIMMING,TRAFFIC CONTROL,RUN OVER",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,1,Abdomen,6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220807853,9/2/2015,"ATV,ASPHALT,HEAD,BRAIN,STRUCK AGAINST",0, ,0, ,0, ,0, ,Fatal,3,"Bruising, Contusion",13,Head,6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220788061,7/23/2015,"PLATFORM,OIL RIG,GAS WELL,FALLING OBJECT,DRILL PIPE,DERRICK,CRUSHED",0, ,0, ,0, ,0, ,Fatal,7,Laceration,13,Head,6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220954994,4/12/2017,"PIPE,STRUCK AGAINST,CONSTRUCTION,LACERATION,RESIDENTIAL CONSTRUCTION,LEG,INSTALLING,CONCRETE,SAW,PLUMBING",A,Single family or duplex dwelling,0, ,0, ,A,New project or new addition,Nonfatal,7,Laceration,18,Lower Leg,6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220949333,3/31/2017,"PPE,SCAFFOLD,EYE",C,Commercial building,11,11,E,"$1,000,000 to $5,000,000",B,Alteration or rehabilitation,Nonfatal,11,Eye injury,8,Right Eye,6,Struck against,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,26
220940258,3/7/2017,"SANDING MACHINE,UNGUARDED,THUMB,BLADE,MACHINE GUARDING,AMPUTATION,MACHINIST,FINGER",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,7,Rubbed/abraded,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220944532,4/3/2017,"ASPHYXIATED,INHALATION,CARBON MONOXIDE",0, ,0, ,0, ,0, ,Fatal,2,"Asphyxiation, Drowning",29,Lungs (Asphyxiation),8,Inhalation,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220871974,7/26/2016,"UNCONSCIOUSNESS,DROWNING,CONFINED SPACE",0, ,0, ,0, ,0, ,Fatal,2,"Asphyxiation, Drowning",28,Lungs (Puncture),8,Inhalation,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220941686,2/28/2017,"SKIDDER,DROWNING,PIT",0, ,0, ,0, ,0, ,Fatal,2,"Asphyxiation, Drowning",4,Whole Body,9,Ingestion,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220907273,11/11/2016,HEART ATTACK,0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,4,Whole Body,12,Card-vascular/resp. fail.,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220859458,6/6/2016,"ASPHYXIATED,DROWNING,DIVER",0, ,0, ,0, ,0, ,Fatal,2,"Asphyxiation, Drowning",4,Whole Body,12,Card-vascular/resp. fail.,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220846018,4/19/2016,"ANIMAL,CARDIOVASC SYSTEM",0, ,0, ,0, ,0, ,Fatal,21,Serious Fall/Strike,31,Heart,12,Card-vascular/resp. fail.,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220948582,4/10/2017,"BURN,LADDER,INSTALLING,ROOF,POWER LINES,MATERIAL HANDLING,HOIST,CONSTRUCTION,ELECTRIC SHOCK,ELECTROCUTED",0, ,0, ,0, ,0, ,Nonfatal,3,"Bruising, Contusion",19,Internal Injuries,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220939573,3/15/2017,"SHOULDER,LADDER,FALL,ELECTRIC SHOCK",0, ,0, ,0, ,0, ,Nonfatal,10,Electrocution,12,Hand,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220933386,2/17/2017,"ELECTROCUTED,POWER LINES",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,21,Shoulder,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220932370,2/8/2017,"STRUCK AGAINST,BURN,ELECTRICAL,ELECTRIC ARC,LADDER,MEASURING DEVICE,LOCKOUT/TAGOUT,FACE,DUCT,ARM",0, ,0, ,0, ,0, ,Nonfatal,10,Electrocution,9,Face,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220927156,1/30/2017,"PROTECTIVE CLOTHING,LOCKOUT,HAND,TEST EQUIPMENT,BURN,ELECTRICAL",0, ,0, ,0, ,0, ,Nonfatal,10,Electrocution,12,Hand,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220926752,1/26/2017,"UTILITY POLE,BURN,ELECTRIC SHOCK,ELECTRICAL",0, ,0, ,0, ,0, ,Nonfatal,10,Electrocution,11,Feet,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220973358,1/25/2017,"BURN,ELECTRIC SHOCK,LOCKOUT/TAGOUT",0, ,0, ,0, ,0, ,Nonfatal,10,Electrocution,19,Internal Injuries,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220919716,1/9/2017,"AMUSEMENT RIDE,ELECTROCUTED,OVERHEAD POWER LINE,POWERED INDUSTRIAL VEHICLE",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,4,Whole Body,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220921845,1/6/2017,"ELECTRICAL,ELECTRIC SHOCK",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,19,Internal Injuries,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220917413,12/28/2016,"POWER LINE WORKER,ELECTROCUTED",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,12,Hand,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220933105,12/5/2016,"ELECTRICAL,ELECTROCUTED,POWER LINES",0, ,0, ,0, ,A,New project or new addition,Fatal,10,Electrocution,12,Hand,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,12
220910202,11/22/2016,"ELECTROCUTED,LADDER,POWER LINES",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,4,Whole Body,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220890545,9/26/2016,"ELECTRICAL,ELECTROCUTED",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,4,Whole Body,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220878995,8/15/2016,"BOOM,POWER LINES,CRANE,ELECTROCUTED",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,4,Whole Body,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220873392,7/27/2016,"TREE,ELECTRIC SHOCK,ELECTROCUTED",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,31,Heart,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220869325,7/15/2016,"TREE TRIMMING,ELECTRICAL,POWER LINES,ELECTROCUTED,AERIAL LIFT,TRAILER,TREE",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,4,Whole Body,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220864060,6/30/2016,"ELECTRICAL,ELECTROCUTED,ELECTRICAL WORK,ELECTRIC SHOCK,ELECTRICAL TESTING",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,19,Internal Injuries,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220842991,4/7/2016,"ATTIC,ELECTRIC CABLE,LOCKOUT/TAGOUT,GUARD,ELECTROCUTED,ELECTRICAL",0, ,0, ,0, ,B,Alteration or rehabilitation,Fatal,10,Electrocution,4,Whole Body,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,10
220823488,1/15/2016,"TELECOM WORK,ELECTRICAL,ELECTRIC SHOCK,HOIST,OVERHEAD POWER LINE,POWER LINES,ELECTROCUTED,E GI IB,AERIAL LIFT,CHOCK",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,4,Whole Body,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220814370,11/30/2015,"AUGER,AGRICULTURE MACHINERY/VEHICLE,ELECTROCUTED,AGRICULTURE",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,19,Internal Injuries,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220811616,11/19/2015,"ELECTRICAL,ELECTRIC CONDUCTOR,ELECTROCUTED",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,17,Forearm,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220788434,8/7/2015,"WIRE LINE,ELECTROCUTED,ELECTRICAL",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,4,Whole Body,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220821524,7/17/2015,ELECTRIC ARC,0, ,0, ,0, ,0, ,Nonfatal,5,Fire Burn,12,Hand,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,9
220806236,7/9/2015,"WATER,ELECTROCUTED,LIGHTING FIXTURE",0, ,0, ,0, ,0, ,Fatal,10,Electrocution,31,Heart,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220826796,1/26/2016,"ELECTRICAL,ELECTRIC SHOCK,POWER LINES,SCAFFOLD,FALL",B,Multi-family dwelling,3,3,0, ,A,New project or new addition,Fatal,10,Electrocution,19,Internal Injuries,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,0
220855720,5/24/2016,"CIRCUIT BREAKER,ELECTRICAL TESTING,ELECTROCUTED,ELECTRICIAN,ELECTRICAL WORK,ELECTRIC SIGN,CONSTRUCTION,ELECTRICAL,E GI IV,ELECTRIC SHOCK",C,Commercial building,0, ,0, ,E,Other,Fatal,10,Electrocution,12,Hand,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,11
220836944,3/15/2016,"CONSTRUCTION,ELECTRICAL,E GI IV,ELECTRICIAN,ELECTROCUTED,ELECTRICAL WORK,ELECTRIC SHOCK,ELECTRIC CONDUCTOR",C,Commercial building,0, ,0, ,B,Alteration or rehabilitation,Fatal,21,Serious Fall/Strike,13,Head,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,9
220937700,3/1/2017,"PANEL BLOCK,ELECTRIC SHOCK,LOCKOUT/TAGOUT,BURN",H,Other building,1,1,0, ,B,Alteration or rehabilitation,Nonfatal,10,Electrocution,12,Hand,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,0
220866545,7/5/2016,"ELECTRICAL,ELECTROCUTED,LOCKOUT/TAGOUT,ELECTRICAL BOX",H,Other building,0, ,0, ,A,New project or new addition,Fatal,10,Electrocution,12,Hand,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,10
220823694,1/14/2016,ELECTRIC SHOCK,O,"Power line, transmission line",0, ,0, ,A,New project or new addition,Fatal,10,Electrocution,5,Ribs,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,9
220792808,9/1/2015,"BUCKET ELEVATOR,POWER LINES,ELEVATED WORK PLATFORM",O,"Power line, transmission line",0, ,0, ,C,Maintenance or repair,Fatal,10,Electrocution,4,Whole Body,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,9
220792832,9/2/2015,"ATTIC,ELECTRIC SHOCK,ELECTROCUTED",B,Multi-family dwelling,2,2,A,"Under $50,000",B,Alteration or rehabilitation,Fatal,10,Electrocution,2,Arm,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,12
220794770,7/22/2015,"ELECTRICAL,ELECTROCUTED",C,Commercial building,1,1,A,"Under $50,000",C,Maintenance or repair,Fatal,10,Electrocution,5,Ribs,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,0,9
220909246,8/10/2016,"BALLAST--LIGHTING,ELECTRICAL,ELECTROCUTED",H,Other building,2,2,A,"Under $50,000",B,Alteration or rehabilitation,Fatal,10,Electrocution,4,Whole Body,13,Shock,18,Other,1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,0,9
